title|authors|year|abstract|pages|numpages|keywords|address|articleno|booktitle|doi|id|issue_date|isbn|issn|journal|location|month|note|number|publisher|series|type|url|volume|filename
Interpreting Regulations with SBVR.|Elie Abi-Lahoud, Elie Abi-Lahoud, Tom Butler, Tom Butler, Donald Chapin, Donald Chapin, John William Hall, John Hall|2013|The wide and complex spectrum of regulations, especially in the financial services industry, calls for machine assistance in making sense of, and in consuming, regulatory text. This paper describes an approach to interpreting regulations with SBVR. The purpose is to clarify ambiguity in regulations by developing a shared vocabulary and shared guidance based on the regulatory text. The on-going work presented in this paper is part of the Governance, Risk and Compliance Technology Centre’s (Ireland) current research activities that include the development of policy advice on compliance with US Anti-Money Laundering (AML) regulations for companies that are governed by these regulations. The approach is based on the navigation of US public databases – Federal Register, Code of Federal Regulations and US Code – to identify subsets of AML regulation relevant to companies based outside the USA. These subsets are imported into an SBVR toolset, where they are analysed and, if necessary, interpreted by the legal and financial experts on the team. A standardized vocabulary for AML is being developed in SBVR, together with advice on regulatory intent and formal expression of rules with which regulated companies must comply.|||||||null|Abi-Lahoud_2013||||International Web Rule Symposium|||||||article|||dissertacao-2024.bib
Domain-specific knowledge graphs: A survey|Bilal Abu-Salih, Bilal Abu-Salih|2021|Abstract Knowledge Graphs (KGs) have made a qualitative leap and effected a real revolution in knowledge representation. This is leveraged by the underlying structure of the KG which underpins a better comprehension, reasoning and interpretation of knowledge for both human and machine. Therefore, KGs continue to be used as the main means of tackling a plethora of real-life problems in various domains. However, there is no consensus in regard to a plausible and inclusive definition of a domain-specific KG. Further, in conjunction with several limitations and deficiencies, various domain-specific KG construction approaches are far from perfect. This survey is the first to offer a comprehensive definition of a domain-specific KG. Also, the paper presents a thorough review of the state-of-the-art approaches drawn from academic works relevant to seven domains of knowledge. An examination of current approaches reveals a range of limitations and deficiencies. At the same time, uncharted territories on the research map are highlighted to tackle extant issues in the literature and point to directions for future research.|||||||10.1016/j.jnca.2021.103076|Abu-Salih_2021||||Journal of Network and Computer Applications|||||||article|||dissertacao-2024.bib
MDA Approach: Refinement and Validation of CIM Level Using SBVR|Najiba Addamssiri, Najiba Addamssiri, Abdelouhaed Kriouile, Abdelouhaed Kriouile, Sara Boussaa, Sara Boussaa, Taoufiq Gadi, Taoufiq Gadi|2016|Any change in the software based on business logic affects all MDA levels: CIM, PIM and PSM. This paper provides an approach to refine and validate CIM for enabling a premature customer’s validation. We propose a set of rules for generating BPMN Model from use cases model which represent both of them our CIM. This transformation uses SBVR as an intermediate step. Firstly, we generate SBVR model from use case model and its textual description and secondly we transform it to BPMN model. SBVR represents the axe of the CIM refinement cycle, which is based on a natural language that is easily comprehensible and usable by business people and easily can be machine processed. Validated and refined CIM’s achieves a high customer satisfaction, and allowing a better vision of the product as the customer expects.|||||||10.1007/978-3-319-30298-0_41|Addamssiri_2016||||null|||||||article|||dissertacao-2024.bib
Generating UML Class Models from SBVR Software Requirements Specifications|Hina Afreen, Imran Sarwar Bajwa|2011|SBVR is the recent standard, introduced by OMG that can be used to capture software requirements in a natural language (NL) such as English. In this paper, we present a novel approach that can translate SBVR specification of software requirements into UML class models. We want to generate UML class models from SBVR specifications instead of NL specifications of software requirements as NL to UML translation exhibit lesser accuracy due to informal nature of natural languages. SBVR specifications can be quite helpful as SBVR is not only based on higher-order logic and easy to machine process but also easy to understand for human beings. The presented approach works as the user inputs the SBVR specification of software requirements and then the input SBVR is syntactically and semantically analyzed to extract OO information and finally OO information is mapped to a class model. The presented approach is also presented in a prototype tool SBVR2UML that is an Eclipse plugin and a proof of concept. A case study has also been solved to show that the use of SBVR in automated generation of class models provide better accuracy and consistency as compared with other available approaches.|||||||null|Afreen_2011||||null|||||||article|||dissertacao-2024.bib
SBVR2UML: A Challenging Transformation|Hina Afreen, Hina Afreen, Imran Sarwar Bajwa, Imran Sarwar Bajwa, Behzad Bordbar, Behzad Bordbar|2011|UML is a de-facto standard used for generating the software models. UML support visualization of the software artifacts. To generate a UML diagram, a software engineer has to collect software requirements in a natural language (such as English) or a semi-formal language (such as SBVR), manually analyze the requirements and then manually generate the class diagrams in an available CASE tool. However, by automatically transforming SBVR Software requirements to UML can seriously share burden of a system analyst and can improve the quality and robustness of software modeling phase. The paper demonstrates the challenging aspect of model transformation from SBVR to UML. The presented approach takes input the software requirements specified in SBVR syntax, parses the input specification, extracts the UML ingredients such as classes, methods, attributes, associations, etc and finally generate the visual representation of the extracted information. The presented approach is fully automated. The presented approach is explained via an example.|||||||10.1109/fit.2011.14|Afreen_2011b||||null|||||||article|||dissertacao-2024.bib
An Intelligent Approach for CRC Models Based Agile Software Requirement Engineering Using SBVR|Hina Afreen, Hina Afreen, Hina Afreen, Umer Farooq, Umer Farooq, Umer Farooq|2020|In requirement engineering (RE) for agile software development, the Class-Responsibility-Collaborator (CRC) models are used as important brainstorming tool. However, manual generation of such CRC models by analyzing the requirements is a difficult and time-consuming task due to ambiguity and informal nature of natural languages-based software requirements. This paper introduces an improved requirement engineering technique based on CRC models that can help in specifying and analyzing software requirements in a better and faster way and curtailing difficulties associated with the traditional RE analysis technique. The proposed technique employs Semantics of Business Vocabulary and Rules (SBVR) to capture and specify software requirements in a controlled natural language. The SBVR representation is processed to extract object-oriented information and map the extracted information to CRC models in both textual and visual form. The proposed approach is implemented as an Eclipse plugin prototype SBVR2CRC as a proof of concept and the results of the experiments validate the effectiveness of the presented approach. Results show that such automated approach not only saves certain time and effort but also assists in generation of better CRC models and simplifies the CRC models based agile software development.|||||||10.1007/978-981-15-5232-8_32|Afreen_2020||||null|||||||article|||dissertacao-2024.bib
Legislative Compliance Assessment: Framework, Model and GDPR Instantiation|Sushant Agarwal, Sushant Agarwal, Simon Steyskal, Simon Steyskal, Franjo Antunovic, Franjo Antunovic, Sabrina Kirrane, Sabrina Kirrane|2018|Legislative compliance assessment tools are commonly used by companies to help them to understand their legal obligations. One of the primary limitations of existing tools is that they tend to consider each regulation in isolation. In this paper, we propose a flexible and modular compliance assessment framework that can support multiple legislations. Additionally, we describe our extension of the Open Digital Rights Language (ODRL) so that it can be used not only to represent digital rights but also legislative obligations, and discuss how the proposed model is used to develop a flexible compliance system, where changes to the obligations are automatically reflected in the compliance assessment tool. Finally, we demonstrate the effectiveness of the proposed approach through the development of a General Data Protection Regulatory model and compliance assessment tool.|||||||10.1007/978-3-030-02547-2_8|Agarwal_2018||||null|||||||article|||dissertacao-2024.bib
Modelling semantic profiles in legislative documents for enhanced norm accessibility|Tommaso Agnoloni, Tommaso Agnoloni, Enrico Francesconi, Enrico Francesconi|2011|In this paper an approach to the Semantic Web in the legal domain is discussed: it is obtained by modelling legislative document semantic profiles using a model of normative provisions. An implementation of this approach through RDF/OWL able to describe provisions and their relations is presented. In particular, an implementation of Hohfeldian legal fundamental relations between provisions, as well as a reasoning example by using the proposed approach is shown.|||||||10.1145/2018358.2018374|Agnoloni_2011||||null|||||||article|||dissertacao-2024.bib
Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey|Garima Agrawal, Tharindu Kumarage, Zeyad Alghami, Huan Liu|2023|The contemporary LLMs are prone to producing hallucinations, stemming mainly from the knowledge gaps within the models. To address this critical limitation, researchers employ diverse strategies to augment the LLMs by incorporating external knowledge, aiming to reduce hallucinations and enhance reasoning accuracy. Among these strategies, leveraging knowledge graphs as a source of external information has demonstrated promising results. In this survey, we conduct a comprehensive review of these knowledge-graph-based knowledge augmentation techniques in LLMs, focusing on their efficacy in mitigating hallucinations. We systematically categorize these methods into three overarching groups, offering both methodological comparisons and empirical evaluations of their performance. Lastly, the paper explores the challenges associated with these techniques and outlines potential avenues for future research in this emerging field.|||||||10.48550/arxiv.2311.07914|Agrawal_2023||||arXiv.org|||||||article|||dissertacao-2024.bib
The European Legal Taxonomy Syllabus: A multi-lingual, multi-level ontology framework to untangle the web of European legal terminology|Gianmaria Ajani, Gianmaria Ajani, Guido Boella, Guido Boella, Luigi Di, Luigi Di Caro, Livio Robaldo, Livio Robaldo, Llio Humphreys, Llio Humphreys, Sabrina Praduroux, Sabrina Praduroux, Piercarlo Rossi, Piercarlo Rossi, Piercarlo Rossi, Andrea Violato, Andrea Violato|2017|This paper describes a new concept of legal ontology together with an ontology development tool, called the European Legal Taxonomy Syllabus (ELTS). The tool is used to model the legal terminology created by the Uniform Terminology project on EU consumer protection law as an ontology. ELTS is not a formal ontology in the standard sense, i.e., an axiomatic ontology formalized, for instance, in description logic. Rather, it is a lightweight ontology, i.e. a knowledge base storing low-level legal concepts, connected via low-level semantic relations, and related to linguistic patterns that denote legal concepts in several languages spoken in the European Union (EU). In other words, ELTS is a multi-lingual and multi-jurisdictional terminological vocabulary enriched with concepts denoted by vocabulary entries, with semantic relations between different concepts. The choice of such an architecture is based on past studies in comparative law and is motivated by the need to reveal the differences between national systems within the EU. Past literature in comparative law highlights that axiomatic ontologies freeze legal knowledge in an unreal steadiness, i.e., they render it disconnected from legal practice. Much more flexibility is needed to make the knowledge base acceptable to legal practitioners. ELTS was developed together with legal practitioners on the basis of the comparative view of European law. The ontology framework is designed to help professionals study the meaning of national and European legal terms and how they inter-relate in the transposition of European Directives into national laws. The structure and user interface of ELTS is suitable for building multi-lingual, multi-jurisdictional legal ontologies in a bottom-up and collaborative manner, starting from the description of legal terms by legal experts. It also takes into account the interpretation of norms, the dynamic character of norms and the contextual character of legal concepts in that they are linked to their legal sources (legislation, case law and doctrine).|||||||10.3233/ao-170174|Ajani_2017||||Applied Ontology|||||||article|||dissertacao-2024.bib
SiTra: simple transformations in Java|David H. Akehurst, David H. Akehurst, Behzad Bordbar, Behzad Bordbar, Michael J. Evans, M. J. Evans, W.G.J. Howells, W.G.J. Howells, Klaus McDonald-Maier, Klaus D. McDonald-Maier|2006|A number of different Model Transformation Frameworks (MTF) are being developed, each of them requiring a user to learn a different language and each possessing its own specific language peculiarities, even if they are based on the QVT standard. To write even a simple transformation, these MTFs require a large amount of learning time. We describe in this paper a minimal, Java based, library that can be used to support the implementation of many practical transformations. Use of this library enables simple transformations to be implemented simply, whilst still providing some support for more complex transformations.|||||||10.1007/11880240_25|Akehurst_2006||||null|||||||article|||dissertacao-2024.bib
